duration,flow_count,CPWE,CPRF,RFPSD,RFBSD,CFER,label
9.894371032714844e-05,6,1.3294340029249652,53902.70200803212,0.4714045207910317,101.82337649086284,6,LDAP
9.584426879882812e-05,6,1.8802408149441479,55645.824212271975,0.7453559924999299,117.09824934643558,6,LDAP
0.006171942,7,1.8802408149441479,740.6791494903674,1.761261143705422,154.70419436816198,6,LDAP
0.000558138,7,1.8802408149441479,8190.5002746079235,1.6781914463529615,152.56179744882505,6,LDAP
0.000326157,7,1.8802408149441479,14016.053467000835,1.761261143705422,154.70419436816198,6,LDAP
0.000133991,7,0,34117.36858159634,0.7284313590846836,34.96470523606481,6,LDAP
0.000560045,7,0,8162.605850513898,1.0497813183356477,50.38950328,6,LDAP
0.000351906,7,0,12990.488579171508,1.0497813183356477,50.38950328011109,7,LDAP
0.000106096,7,0,43087.55313001606,0.7284313590846835,34.96470523606481,6,LDAP
0.000103951,8,0,38479.85321100918,1.7320508075688772,83.13843876330611,7,LDAP
0.000115871,7,0,39452.59494,0.7284313590846836,34.96470523606481,6,LDAP
0.000102043,7,0,44798.97463284379,1.0497813183356477,50.38950328,6,LDAP
9.989738464355469e-05,7,0,45761.24377770202,1.0497813183356477,50.38950328011109,7,LDAP
9.822845458984375e-05,7,0,46538.74063800277,0.7284313590846835,34.96470523606481,6,LDAP
0.000339985,8,0,11765.228611500701,1.7320508075688772,83.13843876330611,7,LDAP
0.000128984,7,0,35441.70266701875,0.7284313590846836,34.96470523606481,6,LDAP
7.200241088867188e-05,7,0,63489.93755912962,1.0497813183356477,50.38950328,6,LDAP
9.703636169433594e-05,7,0,47110.469638469636,1.0497813183356477,50.38950328011109,7,LDAP
7.104873657226562e-05,7,0,64342.15148609779,0.7284313590846835,34.96470523606481,6,LDAP
0.000102997,8,0,38836.148148148146,1.7320508075688772,83.13843876330611,7,LDAP
0.000653028,7,0,7000.350910134041,0.7284313590846836,34.96470523606481,6,LDAP
7.009506225585938e-05,7,0,65217.55490767737,1.0497813183356477,50.38950328,6,LDAP
7.009506225585938e-05,7,0,65217.55490767736,1.0497813183356477,50.38950328011109,7,LDAP
0.000148058,7,0,30875.943869335173,0.7284313590846835,34.96470523606481,6,LDAP
9.989738464355469e-05,8,0,40041.08830548926,1.7320508075688772,83.13843876330611,7,LDAP
7.009506225585938e-05,7,0,65217.55490767736,0.7284313590846836,34.96470523606481,6,LDAP
0.000132084,7,0,34610.038164002064,1.0497813183356477,50.38950328,6,LDAP
0.000542164,7,0,8431.821083050634,1.0497813183356477,50.38950328011109,7,LDAP
7.009506225585938e-05,7,0,65217.55490767737,0.7284313590846835,34.96470523606481,6,LDAP
0.000306845,8,0,13035.909867909868,1.7320508075688772,83.13843876330611,7,LDAP
